execucao,num_dados,operacao,abordagem,tempo_gasto,rotacoes,altura
3,1000000,pesquisa,AVL,13.632383346558,400459.0,
4,1000000,insercao,Red Black,9.300955772400,581447.0,25.0
4,1000000,insercao,AVL,18.596185445786,697006.0,24.0
4,1000000,busca,Red Black,5.000910997391,,
4,1000000,busca,AVL,3.487200260162,,
4,1000000,exclusão,Red Black,6.476947307587,422396.0,
4,1000000,pesquisa,AVL,13.642056703568,399735.0,
5,1000000,insercao,Red Black,9.220648527145,581662.0,25.0
5,1000000,insercao,AVL,19.167527914047,697607.0,24.0
5,1000000,busca,Red Black,5.072257757187,,
5,1000000,busca,AVL,3.499732017517,,
5,1000000,exclusão,Red Black,6.501148462296,422336.0,
5,1000000,pesquisa,AVL,13.750230550766,398721.0,
6,1000000,insercao,Red Black,9.269189357758,582503.0,25.0
6,1000000,insercao,AVL,18.761967182159,697979.0,24.0
6,1000000,busca,Red Black,4.977292776108,,
6,1000000,busca,AVL,3.487751960754,,
6,1000000,exclusão,Red Black,6.531456470490,421942.0,
6,1000000,pesquisa,AVL,13.682871341705,399812.0,
7,1000000,insercao,Red Black,9.325949430466,582493.0,26.0
7,1000000,insercao,AVL,18.710727453232,698685.0,24.0
7,1000000,busca,Red Black,5.032184600830,,
7,1000000,busca,AVL,3.483184576035,,
7,1000000,exclusão,Red Black,6.518639326096,422422.0,
7,1000000,pesquisa,AVL,13.714160680771,400936.0,
8,1000000,insercao,Red Black,9.305007696152,581996.0,25.0
8,1000000,insercao,AVL,18.677416324615,696998.0,24.0
8,1000000,busca,Red Black,5.037475824356,,
8,1000000,busca,AVL,3.521022081375,,
8,1000000,exclusão,Red Black,6.528789997101,421724.0,
8,1000000,pesquisa,AVL,13.761530876160,399784.0,
9,1000000,insercao,Red Black,9.308672189713,582408.0,26.0
9,1000000,insercao,AVL,18.767380237579,698618.0,24.0
9,1000000,busca,Red Black,5.061064958572,,
9,1000000,busca,AVL,3.484276056290,,
9,1000000,exclusão,Red Black,6.567123889923,423599.0,
9,1000000,pesquisa,AVL,13.755966901779,399947.0,
10,1000000,insercao,Red Black,9.279438495636,582524.0,25.0
10,1000000,insercao,AVL,18.729889392853,698339.0,24.0
10,1000000,busca,Red Black,5.078361749649,,
10,1000000,busca,AVL,3.594866991043,,
10,1000000,exclusão,Red Black,6.534932374954,421557.0,
10,1000000,pesquisa,AVL,13.666838645935,398845.0,
